run,n,cls,epoch,edit,overall,index,type,err_type_only,err_index_only,err_both,typ_break,typ_fix,partner_frac
d61_seed2,61,A,5000,base,0.313491,0.314028,0.952567,0.000783,0.930906,0.068311,,,
d61_seed2,61,A,5000,surgical,0.300994,0.305899,0.625773,0.007017,0.464629,0.528354,0.327130,0.000336,0.011707
d61_seed2,61,A,5000,noise_only,0.286639,0.287423,0.942153,0.001099,0.918911,0.079990,0.023806,0.013392,0.010387
d61_seed2,61,A,7000,base,0.322292,0.322292,0.983942,0.000000,0.976306,0.023694,,,
d61_seed2,61,A,7000,surgical,0.301733,0.305966,0.605146,0.006062,0.434523,0.559415,0.378796,0.000000,0.011174
d61_seed2,61,A,7000,noise_only,0.266416,0.266662,0.976149,0.000336,0.967481,0.032183,0.014154,0.006360,0.008147
d61_seed2,61,A,9000,base,0.338753,0.338820,0.979643,0.000102,0.969214,0.030685,,,
d61_seed2,61,A,9000,surgical,0.307511,0.311005,0.605818,0.005045,0.430775,0.564180,0.373891,0.000067,0.009524
d61_seed2,61,A,9000,noise_only,0.298956,0.299136,0.970214,0.000256,0.957511,0.042234,0.017715,0.008286,0.006461
d61_seed4,61,I,3000,base,0.301868,0.305630,0.645929,0.005389,0.492830,0.501780,,,
d61_seed4,61,I,3000,surgical,0.302069,0.306168,0.652983,0.005872,0.502792,0.491336,0.039506,0.046560,0.011905
d61_seed4,61,I,3000,noise_only,0.301957,0.305966,0.647631,0.005743,0.495204,0.499053,0.018521,0.020223,0.012130
d61_seed4,61,I,5000,base,0.302741,0.305361,0.652177,0.003758,0.501156,0.495086,,,
d61_seed4,61,I,5000,surgical,0.302741,0.305361,0.658694,0.003758,0.510503,0.485739,0.034802,0.041320,0.005792
d61_seed4,61,I,5000,noise_only,0.302920,0.305518,0.651460,0.003727,0.500000,0.496273,0.017827,0.017110,0.008818
d61_seed4,61,I,7000,base,0.305899,0.307579,0.655603,0.002420,0.503823,0.493757,,,
d61_seed4,61,I,7000,surgical,0.306638,0.308318,0.661919,0.002422,0.512403,0.485174,0.035810,0.042126,0.007505
d61_seed4,61,I,7000,noise_only,0.305832,0.307623,0.656678,0.002581,0.505420,0.491999,0.017312,0.018387,0.003957
d61_seed4,61,I,9000,base,0.308788,0.310333,0.659164,0.002236,0.506901,0.490863,,,
d61_seed4,61,I,9000,surgical,0.308990,0.310602,0.660441,0.002333,0.508605,0.489062,0.033862,0.035138,0.005952
d61_seed4,61,I,9000,noise_only,0.308878,0.310512,0.660396,0.002366,0.508620,0.489015,0.015878,0.017110,0.005679
d61_seed6,61,B,3000,base,0.305160,0.314902,0.663666,0.014020,0.515954,0.470025,,,
