run,n,cls,edit,overall,index,type,err_type_only,err_index_only,err_both
d61_seed1,61,B,crude,0.995902,0.995902,0.996103,0.000000,0.049180,0.950820
d61_seed1,61,B,surgical,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d61_seed1,61,B,noise_only,0.999978,0.999978,0.999978,0.000000,0.000000,0.333333
d61_seed2,61,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d61_seed2,61,A,crude,0.895257,0.897272,0.895458,0.019243,0.001924,0.978833
d61_seed2,61,A,surgical,0.883365,0.886522,0.883365,0.027074,0.000000,0.972926
d61_seed2,61,A,noise_only,0.897295,0.897899,0.983226,0.005927,0.836114,0.157959
d61_seed6,61,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d61_seed6,61,B,crude,0.981994,0.981994,0.986697,0.000000,0.261194,0.738806
d61_seed6,61,B,surgical,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d61_seed6,61,B,noise_only,0.999955,0.999955,1.000000,0.000000,0.666667,0.000000
d61_seed8,61,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d61_seed8,61,A,crude,0.986899,0.986899,0.986899,0.000000,0.000000,1.000000
d61_seed8,61,A,surgical,0.988981,0.988981,0.988981,0.000000,0.000000,1.000000
d61_seed8,61,A,noise_only,0.959823,0.959823,0.998500,0.000000,0.962607,0.037393
d61_seed9,61,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d61_seed9,61,B,crude,0.958277,0.963719,0.964727,0.130435,0.154589,0.714976
d61_seed9,61,B,surgical,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d61_seed9,61,B,noise_only,0.998522,0.998522,0.999910,0.000000,0.952614,0.047386
d63_seed0,63,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed0,63,B,crude,0.999496,0.999496,0.999622,0.000000,0.250000,0.750000
d63_seed0,63,B,surgical,0.999874,0.999874,0.999874,0.000000,0.000000,1.000000
d63_seed0,63,B,noise_only,0.999748,0.999748,0.999937,0.000000,0.722222,0.277778
d63_seed1,63,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed1,63,B,crude,0.978584,0.978584,0.983056,0.000000,0.208824,0.791176
d63_seed1,63,B,surgical,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed1,63,B,noise_only,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed2,63,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed2,63,A,crude,0.810973,0.810973,0.810973,0.000000,0.000000,1.000000
d63_seed2,63,A,surgical,0.799320,0.799320,0.799320,0.000000,0.000000,1.000000
d63_seed2,63,A,noise_only,0.795918,0.795918,0.985324,0.000000,0.928418,0.071582
d63_seed3,63,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed3,63,B,crude,0.951247,0.951247,0.981670,0.000000,0.624031,0.375969
d63_seed3,63,B,surgical,0.999685,0.999685,0.999685,0.000000,0.000000,1.000000
d63_seed3,63,B,noise_only,0.999601,0.999601,0.999811,0.000000,0.533333,0.466667
d63_seed4,63,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed4,63,B,crude,0.705530,0.705656,0.918178,0.000428,0.722139,0.277433
d63_seed4,63,B,surgical,0.997480,0.997669,0.997480,0.075000,0.000000,0.925000
d63_seed4,63,B,noise_only,0.996578,0.996683,0.999202,0.029980,0.762492,0.207528
d63_seed5,63,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed5,63,B,crude,0.997040,0.997040,0.999181,0.000000,0.723404,0.276596
d63_seed5,63,B,surgical,0.999937,0.999937,0.999937,0.000000,0.000000,1.000000
d63_seed5,63,B,noise_only,0.999706,0.999706,1.000000,0.000000,1.000000,0.000000
d63_seed6,63,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed6,63,B,crude,0.994205,0.994331,0.995024,0.021739,0.141304,0.836957
d63_seed6,63,B,surgical,0.999937,0.999937,0.999937,0.000000,0.000000,1.000000
d63_seed6,63,B,noise_only,0.999937,0.999937,0.999958,0.000000,0.166667,0.500000
d63_seed7,63,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed7,63,B,crude,0.965860,0.966427,0.988095,0.016605,0.651292,0.332103
d63_seed7,63,B,surgical,0.999937,0.999937,0.999937,0.000000,0.000000,1.000000
d63_seed7,63,B,noise_only,0.998971,0.998971,0.999874,0.000000,0.878916,0.121084
d63_seed8,63,A,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed8,63,A,crude,0.936004,0.936004,0.936004,0.000000,0.000000,1.000000
d63_seed8,63,A,surgical,0.922777,0.922777,0.922777,0.000000,0.000000,1.000000
d63_seed8,63,A,noise_only,0.880511,0.880511,0.985555,0.000000,0.878459,0.121541
d63_seed9,63,B,base,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
d63_seed9,63,B,crude,0.998992,0.998992,0.998992,0.000000,0.000000,1.000000
d63_seed9,63,B,surgical,0.999811,0.999811,0.999811,0.000000,0.000000,1.000000
d63_seed9,63,B,noise_only,0.999916,0.999916,0.999916,0.000000,0.000000,0.333333
